Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Player_href,Weight,College,Height
2019-20,20,IND,NBA,C,54,2,471,5.4,11.5,0.467,0.6,3.2,0.19,4.7,8.3,0.574,1.8,2.5,0.727,1.9,6.2,8.1,1.8,0.8,2.8,2.1,5,13.1,Goga Bitadze,/players/b/bitadgo01.html,250,None,83
2020-21,21,IND,NBA,C,45,3,561,5.3,12.4,0.428,1.3,5.1,0.253,4,7.4,0.548,2.9,3.9,0.738,3.9,5.8,9.6,2.4,0.6,3.9,1.1,6,14.8,Goga Bitadze,/players/b/bitadgo01.html,250,None,83
2016-17,24,ORL,NBA,C,81,27,1793,3.6,6.8,0.528,0,0,0,3.6,6.8,0.528,2.5,4.7,0.534,3.2,8.2,11.4,1.5,0.5,1.8,1.9,4.1,9.7,Bismack Biyombo,/players/b/biyombi01.html,255,None,80
2017-18,25,ORL,NBA,C,82,25,1495,4.4,8.5,0.52,0,0,0,4.4,8.5,0.521,2.5,3.8,0.65,3.5,7.8,11.3,1.6,0.5,2.3,2,3.8,11.3,Bismack Biyombo,/players/b/biyombi01.html,255,None,80
2018-19,26,CHO,NBA,C,54,32,783,4.1,7.2,0.571,0,0,0,4.1,7.2,0.571,2.7,4.2,0.637,3.7,7.6,11.4,1.5,0.5,1.9,1.6,4.7,10.9,Bismack Biyombo,/players/b/biyombi01.html,255,None,80
2019-20,27,CHO,NBA,C,53,29,1029,5.3,9.7,0.543,0,0,0,5.3,9.7,0.543,3.2,5.3,0.603,4.2,6.6,10.8,1.7,0.3,1.7,1.7,4.1,13.7,Bismack Biyombo,/players/b/biyombi01.html,255,None,80
2020-21,28,CHO,NBA,C,66,36,1349,3.8,6.5,0.587,0,0,0,3.8,6.4,0.589,1.3,2.8,0.448,3.7,5.6,9.3,2.2,0.5,2,1.9,3.8,8.8,Bismack Biyombo,/players/b/biyombi01.html,255,None,80
2016-17,28,MIN,NBA,PF,65,1,1190,4.6,10.8,0.424,1.7,5.4,0.316,2.9,5.4,0.531,1.4,1.8,0.738,1.7,5.7,7.4,2.4,1.2,0.6,1.8,4.7,12.2,Nemanja Bjelica,/players/b/bjeline01.html,234,None,82
2017-18,29,MIN,NBA,PF,67,21,1371,4.5,9.7,0.461,2,4.8,0.415,2.5,4.9,0.505,0.9,1.2,0.8,1.4,5.8,7.2,2.3,1.3,0.4,1.4,3.7,11.9,Nemanja Bjelica,/players/b/bjeline01.html,234,None,82
2018-19,30,SAC,NBA,PF,77,70,1788,5.7,11.9,0.479,2.1,5.2,0.401,3.6,6.8,0.539,1.4,1.9,0.761,2.5,6.4,8.9,3,1.1,1.1,1.7,4,14.9,Nemanja Bjelica,/players/b/bjeline01.html,234,None,82
2019-20,31,SAC,NBA,PF,72,67,2011,5.6,11.7,0.481,2.4,5.7,0.419,3.2,6,0.541,1.2,1.5,0.821,2,6.2,8.2,3.6,1.1,0.7,1.8,3.9,14.9,Nemanja Bjelica,/players/b/bjeline01.html,234,None,82
2020-21,32,TOT,NBA,PF,37,3,595,5.4,11.9,0.454,1.6,5.1,0.318,3.8,6.7,0.559,2.2,3.1,0.725,1.8,5.9,7.7,4.2,0.9,0.3,2,4.1,14.6,Nemanja Bjelica,/players/b/bjeline01.html,234,None,82
2016-17,25,LAL,NBA,C,67,16,1091,4.9,9.7,0.51,0,0.1,0.5,4.9,9.6,0.51,2.7,3.6,0.752,4.8,6.6,11.3,1.3,1,1.5,1.9,5.7,12.6,Tarik Black,/players/b/blackta01.html,250,Kansas,81
